screenH,OS,Browser,screenW,workerid
768,Windows,Chrome,1366,0
768,Windows,Chrome,1366,1
768,Windows,Chrome,1366,2
800,Windows,Chrome,1280,3
1024,Linux,Chrome,600,4
768,Windows,Chrome,1366,5
1050,Mac,Firefox,1680,6
768,Windows,Chrome,1366,7
800,Mac,Chrome,1280,8
768,Windows,Chrome,1024,9
720,Windows,Chrome,1152,10
800,Windows,Chrome,1280,11
720,Windows,Chrome,1280,12
768,Windows,Chrome,1366,13
768,Windows,Chrome,1366,14
768,Windows,Chrome,1024,15
768,Windows,Chrome,1366,16
768,Windows,Chrome,1024,17
1152,Windows,Chrome,2048,18
1024,Windows,Chrome,1280,19
768,Windows,Chrome,1360,20
768,Windows,Chrome,1366,21
768,Windows,Chrome,1366,22
800,Mac,Chrome,1280,23
768,Windows,Chrome,1024,24
800,Windows,Chrome,1280,25
768,Windows,Chrome,1024,26
768,Windows,Chrome,1366,27
900,Windows,Chrome,1440,28
768,Windows,Chrome,1366,29
768,Windows,Chrome,1366,30
768,Windows,Chrome,1366,31
768,Linux,Chrome,1366,32
768,Windows,Chrome,1366,33
768,Windows,Chrome,1366,34
900,Windows,Chrome,1440,35
768,Windows,Chrome,1366,36
768,Windows,Chrome,1366,37
768,Windows,Chrome,1366,38
768,Windows,Chrome,1366,39
768,Windows,Chrome,1366,40
1050,Mac,Chrome,1680,41
720,Windows,Chrome,1280,42
720,Windows,Chrome,1152,43
768,Windows,Chrome,1024,44
768,Windows,Chrome,1366,45
864,Windows,Chrome,1536,46
900,Windows,Chrome,1600,47
768,Windows,Chrome,1366,48
864,Windows,Chrome,1536,49
900,Mac,Chrome,1440,50
768,Windows,Chrome,1024,51
960,Windows,Chrome,1708,52
896,iPhone/iPod,Safari,414,53
768,Windows,Chrome,1024,54
768,Windows,Chrome,1366,55
768,Windows,Chrome,1366,56
600,Linux,Chrome,1024,57
768,Windows,Chrome,1366,58
768,Windows,Chrome,1366,59
768,Windows,Chrome,1366,60
768,Windows,Chrome,1366,61
768,Windows,Chrome,1024,62
1024,Windows,Chrome,1280,63
820,Windows,Chrome,1024,64
768,Windows,Chrome,1360,65
900,Windows,Chrome,1440,66
900,Windows,Chrome,1600,67
900,Windows,Chrome,1600,68
768,Windows,Chrome,1366,69
720,Windows,Chrome,1280,70
768,Windows,Chrome,1366,71
768,Windows,Chrome,1366,72
800,Windows,Chrome,1280,73
800,Windows,Chrome,1280,74
1440,Windows,Chrome,2560,75
1080,Windows,Chrome,2560,76
768,Windows,Chrome,1024,77
640,Linux,Firefox,360,78
864,Windows,Chrome,1536,79
768,Windows,Chrome,1024,80
900,Mac,Chrome,1440,81
1024,Windows,Chrome,1280,82
900,Windows,Chrome,1600,83
768,Windows,Chrome,1366,84
768,Windows,Chrome,1366,85
768,Windows,Chrome,1024,86
1600,Mac,Chrome,2560,87
768,Windows,Chrome,1366,88
800,Windows,Chrome,1280,89
