,class1,class2,classifier,noun,nounclass,predicate1,predicate1English,predicate2,predicate2English,response,slide_number,language,enjoyment,assess,age,gender,education,comments,describe,school,college,lived,years,family,level,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,texture,quality,chiếc,quạt máy,furniture,trơn,smooth,tệ,bad,0.15,3,greg,0,No,greg,Male,0,GREG0,otherL2,,onesem,,,Viet,,Safari,Mac,1440,2560,0.6460333333333333,1
1,age,size,chiếc,ghế,furniture,cũ,old,ngắn,short,0.72,4,greg,0,No,greg,Male,0,GREG0,otherL2,,onesem,,,Viet,,Safari,Mac,1440,2560,0.6460333333333333,1
0,size,age,chiếc,ti-vi,furniture,nặng,heavy,tươi,fresh,0.68,3,greg,-1,Confused,,Other,1,GREG1,VietViet,,,,,,,Safari,Mac,1440,2560,0.25526666666666664,2
1,color,size,quả,táo,food,màu tím,purple,to,big,0.34,4,greg,-1,Confused,,Other,1,GREG1,VietViet,,,,,,,Safari,Mac,1440,2560,0.25526666666666664,2
0,nationality,size,chiếc,quạt máy,furniture,Đức,german,nặng,heavy,0.7,3,,-1,,,,-1,GREG2,,,,,,,,Safari,Mac,1440,2560,0.17641666666666667,3
1,nationality,texture,quả,chuối,food,Đức,german,mềm,soft,0.31,4,,-1,,,,-1,GREG2,,,,,,,,Safari,Mac,1440,2560,0.17641666666666667,3
2,color,quality,quả,cà chua,food,màu vàng,yellow,mắc,expensive,0.57,5,,-1,,,,-1,GREG2,,,,,,,,Safari,Mac,1440,2560,0.17641666666666667,3
0,color,age,quả,táo,food,màu xanh lá,green,tươi,fresh,0.97,3,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
1,nationality,shape,cái,bàn,furniture,Đức,german,tròn,round,0.01,4,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
2,color,nationality,quả,cà chua,food,màu đỏ,red,Đức,german,0.95,5,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
3,color,age,quả,chuối,food,màu xanh lá,green,tươi,fresh,0.03,6,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
4,color,age,củ,cà rốt,food,màu tím,purple,mới,new,0.03,7,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
5,color,shape,lát,phô mai,food,màu xanh dương,blue,vuông,square,0.94,8,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
6,size,nationality,lát,phô mai,food,nhỏ,small,Mỹ,american,0.96,9,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
7,color,quality,chiếc,ghế,furniture,màu tím,purple,tệ,bad,0.96,10,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
8,nationality,quality,chiếc,ghế,furniture,Mỹ,american,mắc,expensive,0.02,11,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
9,nationality,shape,củ,cà rốt,food,Đức,german,vuông,square,0.06,12,Viet,1,Yes,55,Female,3,,VietViet,most,nocollege,both8,mostlive,Vieteng,native,Chrome,Windows,1200,1920,5.6798166666666665,4
