"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1",4,"táo","food","predicate1","màu xanh lá",0.97,"color"
"2",4,"bàn","furniture","predicate1","Đức",0.01,"nationality"
"3",4,"cà chua","food","predicate1","màu đỏ",0.95,"color"
"4",4,"chuối","food","predicate1","màu xanh lá",0.03,"color"
"5",4,"cà rốt","food","predicate1","màu tím",0.03,"color"
"6",4,"phô mai","food","predicate1","màu xanh dương",0.94,"color"
"7",4,"phô mai","food","predicate1","nhỏ",0.96,"size"
"8",4,"ghế","furniture","predicate1","màu tím",0.96,"color"
"9",4,"ghế","furniture","predicate1","Mỹ",0.02,"nationality"
"10",4,"cà rốt","food","predicate1","Đức",0.06,"nationality"
"11",4,"phô mai","food","predicate1","to",0.95,"size"
"12",4,"cà chua","food","predicate1","cũ",0,"age"
"13",4,"cà rốt","food","predicate1","nhẹ",0.95,"size"
"14",4,"ghế","furniture","predicate1","màu nâu",0.96,"color"
"15",4,"bàn","furniture","predicate1","to",0.07,"size"
"16",4,"cà chua","food","predicate1","màu đỏ",0.97,"color"
"17",4,"cà chua","food","predicate1","Pháp",0.06,"nationality"
"18",4,"bàn","furniture","predicate1","hư",0.97,"age"
"19",4,"cà chua","food","predicate1","nhẹ",0.07,"size"
"20",4,"cà rốt","food","predicate1","Mỹ",0.07,"nationality"
"21",4,"ti-vi","furniture","predicate1","to",0.03,"size"
"22",4,"phô mai","food","predicate1","màu vàng",0.95,"color"
"23",4,"táo","food","predicate1","rắn",0.95,"texture"
"24",4,"táo","food","predicate1","mới",0.92,"age"
"25",4,"táo","food","predicate1","màu đỏ",0.97,"color"
"26",4,"phô mai","food","predicate1","to",0.96,"size"
"27",6,"cà rốt","food","predicate1","màu tím",0.97,"color"
"28",6,"táo","food","predicate1","ngắn",0.01,"size"
"29",6,"quạt máy","furniture","predicate1","Đức",0,"nationality"
"30",6,"cà rốt","food","predicate1","mềm",0.99,"texture"
"31",6,"cà rốt","food","predicate1","trơn",0.97,"texture"
"32",6,"cà chua","food","predicate1","dài",0,"size"
"33",6,"ghế","furniture","predicate1","màu xanh dương",0.99,"color"
"34",6,"cà chua","food","predicate1","Pháp",0.01,"nationality"
"35",6,"cà chua","food","predicate1","cũ",0.97,"age"
"36",6,"táo","food","predicate1","tròn",0.99,"shape"
"37",6,"táo","food","predicate1","rắn",0.98,"texture"
"38",6,"cà rốt","food","predicate1","nặng",0.97,"size"
"39",6,"cà rốt","food","predicate1","rắn",0.97,"texture"
"40",6,"ti-vi","furniture","predicate1","cũ",0.02,"age"
"41",6,"cà chua","food","predicate1","mắc",0.96,"quality"
"42",6,"cà chua","food","predicate1","màu vàng",0.98,"color"
"43",6,"quạt máy","furniture","predicate1","cũ",0.01,"age"
"44",6,"quạt máy","furniture","predicate1","dài",0,"size"
"45",6,"ghế","furniture","predicate1","rắn",0.96,"texture"
"46",6,"chuối","food","predicate1","Mỹ",0.02,"nationality"
"47",6,"táo","food","predicate1","màu nâu",0,"color"
"48",6,"bàn","furniture","predicate1","Pháp",0.02,"nationality"
"49",6,"cà chua","food","predicate1","dài",0.96,"size"
"50",6,"táo","food","predicate1","cũ",0,"age"
"51",6,"cà rốt","food","predicate1","màu xanh dương",0.02,"color"
"52",6,"táo","food","predicate1","màu đỏ",0.03,"color"
"53",8,"bàn","furniture","predicate1","Mỹ",0,"nationality"
"54",8,"chuối","food","predicate1","tươi",0,"age"
"55",8,"chuối","food","predicate1","màu xanh dương",1,"color"
"56",8,"phô mai","food","predicate1","cũ",0,"age"
"57",8,"táo","food","predicate1","Mỹ",1,"nationality"
"58",8,"quạt máy","furniture","predicate1","nặng",0,"size"
"59",8,"chuối","food","predicate1","tròn",0,"shape"
"60",8,"cà rốt","food","predicate1","màu nâu",1,"color"
"61",8,"tủ","furniture","predicate1","to",0,"size"
"62",8,"cà chua","food","predicate1","dài",1,"size"
"63",8,"táo","food","predicate1","cũ",0.9,"age"
"64",8,"táo","food","predicate1","nhỏ",0.34,"size"
"65",8,"bàn","furniture","predicate1","màu nâu",0.9,"color"
"66",8,"ghế","furniture","predicate1","Đức",0.37,"nationality"
"67",8,"ghế","furniture","predicate1","tròn",0.88,"shape"
"68",8,"chuối","food","predicate1","mềm",0.36,"texture"
"69",8,"ghế","furniture","predicate1","tròn",0.84,"shape"
"70",8,"bàn","furniture","predicate1","màu xanh dương",0.13,"color"
"71",8,"táo","food","predicate1","màu vàng",0.92,"color"
"72",8,"chuối","food","predicate1","cũ",0.83,"age"
"73",8,"cà rốt","food","predicate1","dài",0.9,"size"
"74",8,"ghế","furniture","predicate1","nặng",0.87,"size"
"75",8,"phô mai","food","predicate1","vuông",0.12,"shape"
"76",8,"bàn","furniture","predicate1","Đức",0.83,"nationality"
"77",8,"ghế","furniture","predicate1","Mỹ",0.91,"nationality"
"78",8,"bàn","furniture","predicate1","to",0.08,"size"
"79",10,"chuối","food","predicate1","nhỏ",0.71,"size"
"80",10,"táo","food","predicate1","nhẹ",0.25,"size"
"81",10,"cà chua","food","predicate1","hư",0.74,"age"
"82",10,"phô mai","food","predicate1","Đức",0.29,"nationality"
"83",10,"ti-vi","furniture","predicate1","mềm",0.77,"texture"
"84",10,"ghế","furniture","predicate1","màu xanh dương",0.98,"color"
"85",10,"bàn","furniture","predicate1","rắn",0.32,"texture"
"86",10,"quạt máy","furniture","predicate1","cũ",0.84,"age"
"87",10,"tủ","furniture","predicate1","ngắn",0.98,"size"
"88",10,"ghế","furniture","predicate1","rắn",0.1,"texture"
"89",10,"tủ","furniture","predicate1","to",0.12,"size"
"90",10,"chuối","food","predicate1","tươi",0,"age"
"91",10,"ti-vi","furniture","predicate1","cũ",1,"age"
"92",10,"phô mai","food","predicate1","Mỹ",0,"nationality"
"93",10,"ti-vi","furniture","predicate1","tươi",0,"age"
"94",10,"ti-vi","furniture","predicate1","tròn",0.11,"shape"
"95",10,"ti-vi","furniture","predicate1","nhẹ",0.13,"size"
"96",10,"táo","food","predicate1","Đức",0.16,"nationality"
"97",10,"cà rốt","food","predicate1","nhỏ",0.08,"size"
"98",10,"tủ","furniture","predicate1","màu xanh lá",0.94,"color"
"99",10,"cà chua","food","predicate1","màu vàng",0.97,"color"
"100",10,"quạt máy","furniture","predicate1","màu vàng",0.96,"color"
"101",10,"quạt máy","furniture","predicate1","nhỏ",0.05,"size"
"102",10,"cà chua","food","predicate1","tròn",0.03,"shape"
"103",10,"ti-vi","furniture","predicate1","màu xanh dương",0.93,"color"
"104",10,"quạt máy","furniture","predicate1","cũ",0.95,"age"
"105",13,"chuối","food","predicate1","màu nâu",0.76,"color"
"106",13,"cà chua","food","predicate1","rắn",0.17,"texture"
"107",13,"ti-vi","furniture","predicate1","mới",0.01,"age"
"108",13,"ti-vi","furniture","predicate1","Pháp",0.03,"nationality"
"109",13,"tủ","furniture","predicate1","mắc",0.98,"quality"
"110",13,"táo","food","predicate1","nặng",0.01,"size"
"111",13,"phô mai","food","predicate1","trơn",0.98,"texture"
"112",13,"chuối","food","predicate1","hư",0.04,"age"
"113",13,"táo","food","predicate1","trơn",0.94,"texture"
"114",13,"cà chua","food","predicate1","Mỹ",0.05,"nationality"
"115",13,"quạt máy","furniture","predicate1","mềm",0.99,"texture"
"116",13,"ghế","furniture","predicate1","dài",0.01,"size"
"117",13,"ti-vi","furniture","predicate1","màu xanh lá",0.97,"color"
"118",13,"táo","food","predicate1","tệ",0.92,"quality"
"119",13,"quạt máy","furniture","predicate1","màu vàng",0.92,"color"
"120",13,"quạt máy","furniture","predicate1","mềm",0.04,"texture"
"121",13,"cà rốt","food","predicate1","nhỏ",0.05,"size"
"122",13,"cà chua","food","predicate1","màu xanh dương",1,"color"
"123",13,"chuối","food","predicate1","màu đỏ",0.95,"color"
"124",13,"bàn","furniture","predicate1","mềm",0.96,"texture"
"125",13,"táo","food","predicate1","cũ",0.03,"age"
"126",13,"ti-vi","furniture","predicate1","mới",0.96,"age"
"127",13,"táo","food","predicate1","mắc",0.97,"quality"
"128",13,"ti-vi","furniture","predicate1","nhỏ",0.98,"size"
"129",13,"quạt máy","furniture","predicate1","ngắn",0.96,"size"
"130",13,"chuối","food","predicate1","to",0.97,"size"
"131",18,"ti-vi","furniture","predicate1","mới",0.69,"age"
"132",18,"ghế","furniture","predicate1","rắn",0.28,"texture"
"133",18,"bàn","furniture","predicate1","hư",0.22,"age"
"134",18,"táo","food","predicate1","rắn",0.82,"texture"
"135",18,"cà rốt","food","predicate1","vuông",0.77,"shape"
"136",18,"phô mai","food","predicate1","cũ",0.21,"age"
"137",18,"táo","food","predicate1","rắn",0.17,"texture"
"138",18,"táo","food","predicate1","rắn",0.18,"texture"
"139",18,"bàn","furniture","predicate1","màu xanh dương",0.22,"color"
"140",18,"ghế","furniture","predicate1","tệ",0.75,"quality"
"141",18,"cà chua","food","predicate1","dài",0.71,"size"
"142",18,"cà rốt","food","predicate1","Pháp",0.24,"nationality"
"143",18,"cà rốt","food","predicate1","to",0.18,"size"
"144",18,"ghế","furniture","predicate1","Đức",0.18,"nationality"
"145",18,"tủ","furniture","predicate1","dài",0.87,"size"
"146",18,"cà rốt","food","predicate1","mắc",0.83,"quality"
"147",18,"ghế","furniture","predicate1","dài",0.16,"size"
"148",18,"cà chua","food","predicate1","nhỏ",0.13,"size"
"149",18,"tủ","furniture","predicate1","tệ",0.17,"quality"
"150",18,"phô mai","food","predicate1","dài",0.84,"size"
"151",18,"ghế","furniture","predicate1","rắn",0.13,"texture"
"152",18,"quạt máy","furniture","predicate1","rắn",0.14,"texture"
"153",18,"chuối","food","predicate1","mới",0.83,"age"
"154",18,"táo","food","predicate1","nặng",0.85,"size"
"155",18,"bàn","furniture","predicate1","màu nâu",0.82,"color"
"156",18,"cà chua","food","predicate1","hư",0.63,"age"
"157",20,"bàn","furniture","predicate1","màu tím",1,"color"
"158",20,"quạt máy","furniture","predicate1","hư",0.95,"age"
"159",20,"ghế","furniture","predicate1","nặng",0.99,"size"
"160",20,"cà chua","food","predicate1","mềm",0.05,"texture"
"161",20,"bàn","furniture","predicate1","ngắn",0.01,"size"
"162",20,"táo","food","predicate1","màu xanh lá",0.96,"color"
"163",20,"bàn","furniture","predicate1","màu xanh lá",1,"color"
"164",20,"cà chua","food","predicate1","mắc",0.94,"quality"
"165",20,"cà chua","food","predicate1","dài",0.95,"size"
"166",20,"cà rốt","food","predicate1","trơn",0.01,"texture"
"167",20,"cà chua","food","predicate1","mềm",0,"texture"
"168",20,"quạt máy","furniture","predicate1","dài",0.99,"size"
"169",20,"ti-vi","furniture","predicate1","màu nâu",0.04,"color"
"170",20,"ghế","furniture","predicate1","mới",0.95,"age"
"171",20,"cà rốt","food","predicate1","màu nâu",0.96,"color"
"172",20,"cà rốt","food","predicate1","nhỏ",0.05,"size"
"173",20,"ti-vi","furniture","predicate1","màu đỏ",0.93,"color"
"174",20,"bàn","furniture","predicate1","nhỏ",0.96,"size"
"175",20,"tủ","furniture","predicate1","tệ",0.78,"quality"
"176",20,"chuối","food","predicate1","hư",0.04,"age"
"177",20,"quạt máy","furniture","predicate1","màu tím",0,"color"
"178",20,"bàn","furniture","predicate1","to",0.03,"size"
"179",20,"quạt máy","furniture","predicate1","Mỹ",0.01,"nationality"
"180",20,"tủ","furniture","predicate1","mắc",0.15,"quality"
"181",20,"bàn","furniture","predicate1","tệ",0.64,"quality"
"182",20,"ghế","furniture","predicate1","màu vàng",0.96,"color"
"183",22,"phô mai","food","predicate1","mắc",0,"quality"
"184",22,"chuối","food","predicate1","Đức",0.04,"nationality"
"185",22,"cà rốt","food","predicate1","Mỹ",0.04,"nationality"
"186",22,"quạt máy","furniture","predicate1","màu nâu",0.99,"color"
"187",22,"bàn","furniture","predicate1","dài",1,"size"
